---------------------------------------------------------
Time	| Alu Op	| AluIn1	| AluIn2	| AluOut	|
---------------------------------------------------------
 50.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
 60.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
 70.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
 80.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
 90.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
100.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
110.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
120.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
130.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
140.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
150.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
160.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
170.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
180.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
190.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
200.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
210.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
220.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
230.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
240.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
250.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
260.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
270.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
280.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
290.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
300.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
310.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
320.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
330.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
340.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
350.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
360.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
370.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
380.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
390.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
400.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
410.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
420.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
430.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
440.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
450.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
460.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
470.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
480.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
490.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
500.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
510.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
520.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
530.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
540.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
550.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
560.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
570.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
580.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
590.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
600.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
610.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
620.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
630.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
640.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
650.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
660.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
670.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
680.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
690.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
700.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
710.0 	|OP_OPIMM  	|00000000 	|00000000 	|00000000 	| 
